tmin	tier	text	tmax
0	silences	sounding	0.428000
0.428000	silences	silent	0.972000
0.972000	silences	sounding	2.172000
2.172000	silences	silent	3.748000
3.748000	silences	sounding	4.124000
4.124000	silences	silent	4.508000
4.508000	silences	sounding	5.940000
5.940000	silences	silent	8.092000
8.092000	silences	sounding	8.436000
8.436000	silences	silent	10.604000
10.604000	silences	sounding	11.068000
11.068000	silences	silent	11.388000
11.388000	silences	sounding	12.348000
12.348000	silences	silent	42.268000
42.268000	silences	sounding	45.620000
45.620000	silences	silent	45.868000
45.868000	silences	sounding	46.948000
46.948000	silences	silent	47.156000
47.156000	silences	sounding	47.988000
47.988000	silences	silent	50.748000
50.748000	silences	sounding	52.420000
52.420000	silences	silent	56.220000
56.220000	silences	sounding	56.356000
56.356000	silences	silent	57.348000
57.348000	silences	sounding	59.580000
59.580000	silences	silent	63.708000
63.708000	silences	sounding	65.372000
65.372000	silences	silent	71.460000
71.460000	silences	sounding	72.852000
72.852000	silences	silent	79.044000
79.044000	silences	sounding	81.844000
81.844000	silences	silent	86.236000
86.236000	silences	sounding	88.132000
88.132000	silences	silent	88.372000
88.372000	silences	sounding	88.980000
88.980000	silences	silent	94.220000
94.220000	silences	sounding	95.412000
95.412000	silences	silent	105.516000
105.516000	silences	sounding	108.148000
108.148000	silences	silent	108.484000
108.484000	silences	sounding	108.620000
108.620000	silences	silent	116.516000
116.516000	silences	sounding	118.092000
118.092000	silences	silent	122.876000
122.876000	silences	sounding	123.852000
123.852000	silences	silent	127.444000
127.444000	silences	sounding	129.036000
129.036000	silences	silent	135.020000
135.020000	silences	sounding	135.196000
135.196000	silences	silent	135.564000
135.564000	silences	sounding	137.388000
137.388000	silences	silent	144.428000
144.428000	silences	sounding	146.556000
146.556000	silences	silent	157.204000
157.204000	silences	sounding	158.740000
158.740000	silences	silent	167.268000
167.268000	silences	sounding	167.940000
167.940000	silences	silent	168.380000
168.380000	silences	sounding	169.412000
169.412000	silences	silent	172.284000
172.284000	silences	sounding	172.452000
172.452000	silences	silent	176.580000
176.580000	silences	sounding	178.188000
178.188000	silences	silent	182.932000
182.932000	silences	sounding	184.244000
184.244000	silences	silent	187.780000
187.780000	silences	sounding	188.852000
188.852000	silences	silent	189.396000
189.396000	silences	sounding	191.548000
191.548000	silences	silent	197.324000
197.324000	silences	sounding	198.596000
198.596000	silences	silent	198.876000
198.876000	silences	sounding	200.948000
200.948000	silences	silent	204.268000
204.268000	silences	sounding	205.484000
205.484000	silences	silent	211.244000
211.244000	silences	sounding	212.652000
212.652000	silences	silent	226.420000
226.420000	silences	sounding	227.260000
227.260000	silences	silent	229.340000
229.340000	silences	sounding	231.268000
231.268000	silences	silent	231.900000
231.900000	silences	sounding	232.324000
232.324000	silences	silent	235.572000
235.572000	silences	sounding	236.940000
236.940000	silences	silent	240.708000
240.708000	silences	sounding	242.604000
242.604000	silences	silent	242.820000
242.820000	silences	sounding	243.644000
243.644000	silences	silent	247.068000
247.068000	silences	sounding	247.172000
247.172000	silences	silent	248.228000
248.228000	silences	sounding	248.612000
248.612000	silences	silent	249.652000
249.652000	silences	sounding	252.340000
252.340000	silences	silent	258.644000
258.644000	silences	sounding	258.748000
258.748000	silences	silent	259.676000
259.676000	silences	sounding	261.868000
261.868000	silences	silent	262.324000
262.324000	silences	sounding	262.612000
262.612000	silences	silent	263.436000
263.436000	silences	sounding	264.500000
264.500000	silences	silent	273.556000
273.556000	silences	sounding	274.140000
274.140000	silences	silent	274.820000
274.820000	silences	sounding	275.508000
275.508000	silences	silent	282.308000
282.308000	silences	sounding	283.084000
283.084000	silences	silent	284.284000
284.284000	silences	sounding	285.972000
285.972000	silences	silent	286.268000
286.268000	silences	sounding	287.140000
287.140000	silences	silent	293.764000
293.764000	silences	sounding	295.332000
295.332000	silences	silent	295.604000
295.604000	silences	sounding	298.324000
298.324000	silences	silent	304.724000
304.724000	silences	sounding	305.068000
305.068000	silences	silent	305.364000
305.364000	silences	sounding	306.092000
306.092000	silences	silent	306.860000
306.860000	silences	sounding	307.204000
307.204000	silences	silent	307.972000
307.972000	silences	sounding	309.180000
309.180000	silences	silent	309.532000
309.532000	silences	sounding	309.908000
309.908000	silences	silent	310.132000
310.132000	silences	sounding	311.156000
311.156000	silences	silent	314.780000
314.780000	silences	sounding	314.892000
314.892000	silences	silent	315.332000
315.332000	silences	sounding	316.604000
316.604000	silences	silent	316.844000
316.844000	silences	sounding	317.220000
317.220000	silences	silent	325.412000
325.412000	silences	sounding	325.572000
325.572000	silences	silent	325.956000
325.956000	silences	sounding	326.852000
326.852000	silences	silent	330.556000
330.556000	silences	sounding	331.772000
331.772000	silences	silent	335.508000
335.508000	silences	sounding	335.636000
335.636000	silences	silent	336.716000
336.716000	silences	sounding	337.036000
337.036000	silences	silent	337.708000
337.708000	silences	sounding	338.012000
338.012000	silences	silent	343.040000
