tmin	tier	text	tmax
0	silences	silent	0.644000
0.644000	silences	sounding	0.964000
0.964000	silences	silent	1.356000
1.356000	silences	sounding	2.092000
2.092000	silences	silent	3.604000
3.604000	silences	sounding	4.676000
4.676000	silences	silent	6.596000
6.596000	silences	sounding	6.820000
6.820000	silences	silent	7.172000
7.172000	silences	sounding	7.476000
7.476000	silences	silent	7.820000
7.820000	silences	sounding	8.612000
8.612000	silences	silent	12.100000
12.100000	silences	sounding	12.396000
12.396000	silences	silent	15.436000
15.436000	silences	sounding	17.836000
17.836000	silences	silent	35.924000
35.924000	silences	sounding	36.036000
36.036000	silences	silent	51.156000
51.156000	silences	sounding	53.612000
53.612000	silences	silent	54.060000
54.060000	silences	sounding	56.124000
56.124000	silences	silent	56.524000
56.524000	silences	sounding	59.380000
59.380000	silences	silent	62.652000
62.652000	silences	sounding	64.300000
64.300000	silences	silent	70.004000
70.004000	silences	sounding	70.284000
70.284000	silences	silent	70.548000
70.548000	silences	sounding	72.132000
72.132000	silences	silent	75.364000
75.364000	silences	sounding	75.956000
75.956000	silences	silent	77.084000
77.084000	silences	sounding	78.956000
78.956000	silences	silent	82.868000
82.868000	silences	sounding	84.820000
84.820000	silences	silent	91.956000
91.956000	silences	sounding	93.412000
93.412000	silences	silent	103.292000
103.292000	silences	sounding	106.412000
106.412000	silences	silent	115.828000
115.828000	silences	sounding	117.644000
117.644000	silences	silent	118.644000
118.644000	silences	sounding	119.452000
119.452000	silences	silent	126.132000
126.132000	silences	sounding	126.276000
126.276000	silences	silent	126.708000
126.708000	silences	sounding	128.372000
128.372000	silences	silent	142.860000
142.860000	silences	sounding	145.804000
145.804000	silences	silent	146.068000
146.068000	silences	sounding	146.300000
146.300000	silences	silent	161.348000
161.348000	silences	sounding	161.508000
161.508000	silences	silent	161.796000
161.796000	silences	sounding	163.540000
163.540000	silences	silent	167.532000
167.532000	silences	sounding	168.452000
168.452000	silences	silent	168.940000
168.940000	silences	sounding	169.364000
169.364000	silences	silent	175.140000
175.140000	silences	sounding	175.268000
175.268000	silences	silent	176.060000
176.060000	silences	sounding	177.692000
177.692000	silences	silent	180.988000
180.988000	silences	sounding	181.244000
181.244000	silences	silent	183.012000
183.012000	silences	sounding	184.548000
184.548000	silences	silent	184.860000
184.860000	silences	sounding	185.452000
185.452000	silences	silent	191.900000
191.900000	silences	sounding	192.276000
192.276000	silences	silent	192.524000
192.524000	silences	sounding	194.252000
194.252000	silences	silent	200.924000
200.924000	silences	sounding	201.060000
201.060000	silences	silent	202.420000
202.420000	silences	sounding	204.636000
204.636000	silences	silent	207.516000
207.516000	silences	sounding	207.908000
207.908000	silences	silent	208.436000
208.436000	silences	sounding	209.724000
209.724000	silences	silent	209.964000
209.964000	silences	sounding	210.780000
210.780000	silences	silent	211.612000
211.612000	silences	sounding	211.740000
211.740000	silences	silent	219.108000
219.108000	silences	sounding	219.436000
219.436000	silences	silent	219.764000
219.764000	silences	sounding	224.580000
224.580000	silences	silent	237.364000
237.364000	silences	sounding	239.028000
239.028000	silences	silent	240.620000
240.620000	silences	sounding	241.492000
241.492000	silences	silent	242.556000
242.556000	silences	sounding	243.588000
243.588000	silences	silent	244.468000
244.468000	silences	sounding	245.156000
245.156000	silences	silent	247.804000
247.804000	silences	sounding	248.100000
248.100000	silences	silent	248.660000
248.660000	silences	sounding	249.732000
249.732000	silences	silent	255.244000
255.244000	silences	sounding	256.036000
256.036000	silences	silent	256.372000
256.372000	silences	sounding	257.372000
257.372000	silences	silent	259.428000
259.428000	silences	sounding	259.756000
259.756000	silences	silent	260.012000
260.012000	silences	sounding	260.644000
260.644000	silences	silent	261.580000
261.580000	silences	sounding	262.612000
262.612000	silences	silent	265.540000
265.540000	silences	sounding	265.684000
265.684000	silences	silent	267.388000
267.388000	silences	sounding	268.004000
268.004000	silences	silent	268.292000
268.292000	silences	sounding	272.356000
272.356000	silences	silent	284.652000
284.652000	silences	sounding	285.004000
285.004000	silences	silent	285.844000
285.844000	silences	sounding	286.460000
286.460000	silences	silent	286.956000
286.956000	silences	sounding	287.652000
287.652000	silences	silent	288.244000
288.244000	silences	sounding	289.036000
289.036000	silences	silent	289.348000
289.348000	silences	sounding	290.340000
290.340000	silences	silent	294.460000
294.460000	silences	sounding	296.780000
296.780000	silences	silent	297.020000
297.020000	silences	sounding	297.940000
297.940000	silences	silent	300.428000
300.428000	silences	sounding	300.612000
300.612000	silences	silent	301.268000
301.268000	silences	sounding	301.796000
301.796000	silences	silent	302.628000
302.628000	silences	sounding	305.988000
305.988000	silences	silent	323.100000
323.100000	silences	sounding	323.444000
323.444000	silences	silent	323.652000
323.652000	silences	sounding	324.484000
324.484000	silences	silent	325.340000
325.340000	silences	sounding	326.532000
326.532000	silences	silent	333.804000
333.804000	silences	sounding	335.540000
335.540000	silences	silent	342.452000
342.452000	silences	sounding	342.636000
342.636000	silences	silent	343.236000
343.236000	silences	sounding	343.452000
343.452000	silences	silent	344.436000
344.436000	silences	sounding	346.668000
346.668000	silences	silent	351.548000
351.548000	silences	sounding	351.788000
351.788000	silences	silent	352.932000
352.932000	silences	sounding	353.588000
353.588000	silences	silent	360.428000
360.428000	silences	sounding	360.564000
360.564000	silences	silent	360.868000
360.868000	silences	sounding	361.948000
361.948000	silences	silent	363.316000
363.316000	silences	sounding	363.580000
363.580000	silences	silent	364.356000
364.356000	silences	sounding	365.172000
365.172000	silences	silent	367.268000
367.268000	silences	sounding	368.524000
368.524000	silences	silent	370.112000
