tmin	tier	text	tmax
0	silences	silent	4.978667
4.978667	silences	sounding	5.314667
5.314667	silences	silent	8.562667
8.562667	silences	sounding	10.594667
10.594667	silences	silent	13.738667
13.738667	silences	sounding	15.954667
15.954667	silences	silent	16.250667
16.250667	silences	sounding	18.058667
18.058667	silences	silent	26.122667
26.122667	silences	sounding	27.018667
27.018667	silences	silent	27.234667
27.234667	silences	sounding	27.642667
27.642667	silences	silent	31.474667
31.474667	silences	sounding	32.386667
32.386667	silences	silent	35.306667
35.306667	silences	sounding	35.794667
35.794667	silences	silent	36.066667
36.066667	silences	sounding	40.482667
40.482667	silences	silent	40.762667
40.762667	silences	sounding	41.026667
41.026667	silences	silent	41.418667
41.418667	silences	sounding	41.586667
41.586667	silences	silent	41.930667
41.930667	silences	sounding	42.146667
42.146667	silences	silent	42.530667
42.530667	silences	sounding	42.650667
42.650667	silences	silent	49.570667
49.570667	silences	sounding	49.754667
49.754667	silences	silent	59.754667
59.754667	silences	sounding	60.090667
60.090667	silences	silent	61.650667
61.650667	silences	sounding	62.802667
62.802667	silences	silent	67.290667
67.290667	silences	sounding	67.826667
67.826667	silences	silent	69.002667
69.002667	silences	sounding	69.186667
69.186667	silences	silent	69.530667
69.530667	silences	sounding	69.698667
69.698667	silences	silent	71.786667
71.786667	silences	sounding	72.002667
72.002667	silences	silent	76.034667
76.034667	silences	sounding	76.618667
76.618667	silences	silent	81.194667
81.194667	silences	sounding	81.322667
81.322667	silences	silent	82.098667
82.098667	silences	sounding	84.650667
84.650667	silences	silent	110.690667
110.690667	silences	sounding	110.858667
110.858667	silences	silent	114.538667
114.538667	silences	sounding	114.874667
114.874667	silences	silent	115.522667
115.522667	silences	sounding	118.042667
118.042667	silences	silent	118.426667
118.426667	silences	sounding	120.778667
120.778667	silences	silent	121.178667
121.178667	silences	sounding	122.474667
122.474667	silences	silent	122.850667
122.850667	silences	sounding	126.570667
126.570667	silences	silent	129.002667
129.002667	silences	sounding	129.146667
129.146667	silences	silent	129.914667
129.914667	silences	sounding	130.018667
130.018667	silences	silent	130.258667
130.258667	silences	sounding	130.650667
130.650667	silences	silent	132.026667
132.026667	silences	sounding	132.906667
132.906667	silences	silent	134.986667
