tmin	tier	text	tmax
0	silences	silent	1.825333
1.825333	silences	sounding	2.745333
2.745333	silences	silent	4.097333
4.097333	silences	sounding	4.297333
4.297333	silences	silent	5.185333
5.185333	silences	sounding	5.329333
5.329333	silences	silent	6.745333
6.745333	silences	sounding	8.041333
8.041333	silences	silent	9.489333
9.489333	silences	sounding	10.225333
10.225333	silences	silent	11.721333
11.721333	silences	sounding	11.905333
11.905333	silences	silent	12.449333
12.449333	silences	sounding	13.001333
13.001333	silences	silent	14.705333
14.705333	silences	sounding	16.001333
16.001333	silences	silent	49.289333
49.289333	silences	sounding	51.841333
51.841333	silences	silent	52.097333
52.097333	silences	sounding	54.801333
54.801333	silences	silent	57.185333
57.185333	silences	sounding	58.905333
58.905333	silences	silent	66.153333
66.153333	silences	sounding	66.417333
66.417333	silences	silent	72.529333
72.529333	silences	sounding	72.649333
72.649333	silences	silent	75.385333
75.385333	silences	sounding	75.553333
75.553333	silences	silent	77.945333
77.945333	silences	sounding	78.089333
78.089333	silences	silent	78.753333
78.753333	silences	sounding	80.801333
80.801333	silences	silent	84.801333
84.801333	silences	sounding	86.449333
86.449333	silences	silent	93.353333
93.353333	silences	sounding	93.537333
93.537333	silences	silent	93.945333
93.945333	silences	sounding	95.409333
95.409333	silences	silent	100.009333
100.009333	silences	sounding	100.113333
100.113333	silences	silent	100.569333
100.569333	silences	sounding	103.041333
103.041333	silences	silent	107.649333
107.649333	silences	sounding	109.521333
109.521333	silences	silent	109.953333
109.953333	silences	sounding	110.577333
110.577333	silences	silent	121.817333
121.817333	silences	sounding	121.921333
121.921333	silences	silent	125.097333
125.097333	silences	sounding	125.225333
125.225333	silences	silent	125.985333
125.985333	silences	sounding	127.785333
127.785333	silences	silent	147.489333
147.489333	silences	sounding	147.601333
147.601333	silences	silent	147.945333
147.945333	silences	sounding	151.313333
151.313333	silences	silent	157.369333
157.369333	silences	sounding	158.777333
158.777333	silences	silent	166.737333
166.737333	silences	sounding	166.849333
166.849333	silences	silent	167.233333
167.233333	silences	sounding	168.537333
168.537333	silences	silent	179.873333
179.873333	silences	sounding	181.553333
181.553333	silences	silent	198.761333
198.761333	silences	sounding	201.241333
201.241333	silences	silent	205.865333
205.865333	silences	sounding	207.193333
207.193333	silences	silent	207.425333
207.425333	silences	sounding	208.001333
208.001333	silences	silent	215.193333
215.193333	silences	sounding	217.817333
217.817333	silences	silent	226.521333
226.521333	silences	sounding	227.585333
227.585333	silences	silent	227.793333
227.793333	silences	sounding	228.353333
228.353333	silences	silent	238.953333
238.953333	silences	sounding	242.457333
242.457333	silences	silent	243.073333
243.073333	silences	sounding	243.513333
243.513333	silences	silent	251.737333
251.737333	silences	sounding	251.865333
251.865333	silences	silent	252.337333
252.337333	silences	sounding	252.713333
252.713333	silences	silent	253.025333
253.025333	silences	sounding	254.665333
254.665333	silences	silent	255.073333
255.073333	silences	sounding	255.753333
255.753333	silences	silent	264.361333
264.361333	silences	sounding	264.465333
264.465333	silences	silent	265.849333
265.849333	silences	sounding	266.865333
266.865333	silences	silent	267.673333
267.673333	silences	sounding	270.865333
270.865333	silences	silent	275.681333
275.681333	silences	sounding	275.825333
275.825333	silences	silent	276.729333
276.729333	silences	sounding	277.201333
277.201333	silences	silent	277.849333
277.849333	silences	sounding	278.481333
278.481333	silences	silent	279.089333
279.089333	silences	sounding	282.497333
282.497333	silences	silent	287.793333
287.793333	silences	sounding	287.961333
287.961333	silences	silent	288.689333
288.689333	silences	sounding	289.905333
289.905333	silences	silent	290.497333
290.497333	silences	sounding	291.809333
291.809333	silences	silent	296.281333
296.281333	silences	sounding	296.417333
296.417333	silences	silent	298.497333
298.497333	silences	sounding	300.033333
300.033333	silences	silent	305.937333
305.937333	silences	sounding	306.081333
306.081333	silences	silent	306.681333
306.681333	silences	sounding	308.745333
308.745333	silences	silent	314.737333
314.737333	silences	sounding	314.849333
314.849333	silences	silent	315.473333
315.473333	silences	sounding	318.177333
318.177333	silences	silent	324.465333
324.465333	silences	sounding	326.641333
326.641333	silences	silent	333.385333
333.385333	silences	sounding	334.385333
334.385333	silences	silent	335.297333
335.297333	silences	sounding	336.193333
336.193333	silences	silent	336.505333
336.505333	silences	sounding	337.257333
337.257333	silences	silent	345.145333
345.145333	silences	sounding	345.369333
345.369333	silences	silent	348.401333
348.401333	silences	sounding	349.489333
349.489333	silences	silent	356.353333
356.353333	silences	sounding	356.817333
356.817333	silences	silent	357.105333
357.105333	silences	sounding	358.345333
358.345333	silences	silent	360.746667
